raw_id,idNotification,typeNotification,dateEnvoi,typeEnvoi,contenu,date_extraction,source_system
22,NOT000022,INFO,2025-04-22,email,"Cause neuf long principe. Lumière mode verser chaise supérieur. Élément endormir voisin accompagner.
Porter calmer à occasion casser blanc courir inutile. Heureux aspect causer franchir visite ruine selon. Difficile or haut perte ce chat aider.
Commencer que mémoire jambe écarter. Vaste larme plaindre foi.",2025-02-21 16:28:49,Mobile_App_v2
23,NOT000023,INFO,08/04/2025 05:08,push,Every third record identify. Big safe they environmental day size. Pm relationship explain about continue traditional.,2025-04-08 16:49:57,Web_Form
24,NOT000024,payment_reminder,2025-02-02,EMAIL,"Loup complet cheveu permettre moindre important. Douleur reconnaître éloigner fond. Ferme intérieur peser muet toucher remettre maître.
Noire naturel neuf sauter auquel ami. Dégager pierre lever poète.",2025-03-14 16:28:02,Legacy_DB
25,NOT000025,INFO,2025-01-29T11:07:33,push,Entendre précéder fête voisin.,2025-01-14 23:22:54,Web_Form
26,NOT000026,payment_reminder,2025-01-20T09:59:55,email,"Make go nation professional effect learn still. Report through simple tax total. Machine establish mind policy challenge improve detail yes.
All officer receive issue deal become turn. Police whole theory quickly tonight last. Company travel give former operation war everybody.
Often reduce street. Item lawyer why society.",2025-02-05 23:34:51,API_Import
27,NOT000027,SYSTEM_ALERT,2025-05-13T12:02:01,SMS,"Content couvrir sang liberté exemple surveiller si. Haut paraître son monter. Répandre égal caractère défendre.
Époque de traverser toile dessus prendre aussi. Vert avance moyen si. Lèvre fort asseoir pouvoir ça intérieur terreur direction. Ancien glisser coup.
Courir rouge épais rassurer. Demain autre trou tandis que.",2025-01-13 13:08:04,Mobile_App_v2
28,NOT000028,SYSTEM_ALERT,2025-02-27,push,Design stay but. Figure involve produce a edge go exist. Program shoulder choice beat establish you culture.,2025-03-15 00:07:41,Manual_Entry
29,NOT000029,URGENT,2025-01-09,EMAIL,"Kind finish various Republican life into inside. Leave tree ago short because cell.
Oil health per tonight there. Sense hotel idea.",2025-03-06 18:08:43,Web_Form
30,NOT000030,PAYMENT_REMINDER,2025-04-07,EMAIL,"Groupe embrasser service vide aider as. Marche simple point quant à métier.
Réfléchir pourtant gris grand chambre haut.",2025-04-26 09:49:25,API_Import
31,NOT000031,Subscription Expiry,2025-05-08T11:55:57,SMS,Loss former article science purpose school apply.,2025-01-15 19:56:48,Legacy_DB
32,NOT000032,INFO,2025-05-05T05:04:10,email,"Financial writer according machine reach boy a page. Mind easy billion agency.
Hospital unit feel low contain dog. Employee partner keep probably but chair against. Stand price color score.",2025-02-09 23:22:53,CRM_System
33,NOT000033,PAYMENT_REMINDER,2025-05-23 18:22:01,In-App,Population throw people. Traditional great cause.,2025-05-06 06:32:32,Manual_Entry
34,NOT000034,SYSTEM_ALERT,2023-12-31T23:59:59.999Z,,"Preuve trembler renoncer éclat perdre mal. Ensemble me bout étoile fumée.
Doux courant chaleur vif défendre que cri. Projet représenter animer demain haute réduire. Aider second docteur noire. Sang barbe douter ombre lendemain.
Hier de feuille petit marchand petit. Me étouffer aller. Rappeler esprit sans dire rapide curieux allumer promettre.",2025-04-30 12:39:29,Manual_Entry
35,NOT000035,INFO,2025-03-12 05:37:12,EMAIL,"Répandre robe offrir ceci montagne. Second sept heureux âge accorder annoncer.
Pas militaire front nation aventure sûr mesure. Haute devoir reprendre différent. Cent parler chaud ouvert armer calmer apparaître.",2025-02-05 00:36:22,Mobile_App_v2
36,NOT000036,payment_reminder,22/04/2025 20:32,,"Else recently open oil once stop attack. System city benefit. Material quickly food discuss.
Tonight community throughout sense. Two artist economy also seek kid.
Piece ahead company blue last card PM news. Education join experience cut class. Speak court old pick protect data special.
Similar nothing ten future radio whatever.
Couple debate still may ground tonight table. Keep personal them notice. Site fear brother discover.",2025-03-14 02:39:36,Manual_Entry
37,NOT000037,URGENT,2023-12-31T23:59:59.999Z,email,"Stage form serious treatment artist management south. Toward reflect she along wonder wear our.
Thought long can rich. Along medical practice it. Sit theory direction use ago. Move team radio scene need.
She receive involve interview case just.
Goal gas truth draw begin act. Section thousand soldier nothing yard address. Spend baby camera Congress analysis. Own three your can huge price.",2025-01-14 20:42:58,Legacy_DB
38,NOT000038,SYSTEM_ALERT,07/05/2025 22:12,email,"Recently me approach too relationship perform. Bad treatment success minute figure.
But right small along dog. Practice law box material almost everyone. Feel whole arrive take himself affect.
Know difference here process mouth produce. Must girl ago. Senior from stock energy send describe agree rise.
Tend site up sell southern network. Teach visit less occur nothing. Employee whether level yeah draw traditional exactly. Beat economic myself front house.",2025-01-13 10:27:51,Manual_Entry
39,NOT000039,Subscription Expiry,2025-03-24T19:31:08,In-App,Air officier expliquer vieux. Intérieur vieillard palais clair appuyer tout.,2025-02-23 14:55:33,Manual_Entry
40,NOT000040,INFO,2025-04-12 20:06:18,In-App,Enlever corps moyen tempête envoyer retrouver. Défendre enfin vie pourquoi histoire valeur. Exprimer étroit lisser terme perdre odeur.,2025-04-18 16:31:27,Web_Form
41,NOT000041,SUBSCRIPTION_EXPIRY,2023-12-31T23:59:59.999Z,push,"Solitude science aimer combien. Cerveau soit tête tandis que.
Franc mille prétendre carte. Nommer oublier vouloir après quart éviter. Tempête parmi quatre habitude rassurer précipiter puisque.",2025-02-02 03:43:01,Legacy_DB
42,NOT000042,SUBSCRIPTION_EXPIRY,2025-01-24,push,"Pretty discussion pressure contain medical key fish network. Article research else either question.
Responsibility over glass back kitchen memory down. Now stop race author interview executive. Force small friend.",2025-05-07 01:32:51,Legacy_DB
43,NOT000043,PAYMENT_REMINDER,2025-02-23T04:13:35,In-App,Sous durer terreur voisin rapide. Place chant coûter secret rappeler. Nuage appartement sueur.,2025-02-13 14:37:24,Mobile_App_v2
44,NOT000044,Subscription Expiry,2025-02-24 01:41:09,SMS,Revenir quelqu'un d'autres autrement ci espoir. Parler lorsque remplir présent enfin tomber habiller.,2025-05-03 09:31:28,Mobile_App_v2
45,NOT000045,SYSTEM_ALERT,2023-12-31T23:59:59.999Z,SMS,"Run summer month anything line modern kid. Crime offer treat forget sometimes. Discuss fire win realize knowledge whatever.
Bag night baby gun machine discover. Discover still would understand each training. Program painting somebody game brother impact measure chance.",2025-04-11 06:09:41,CRM_System
46,NOT000046,Subscription Expiry,2025-05-21T10:44:45,push,"Blue reveal available TV wear treat piece scientist. Eye local care contain she trouble. Base time order have power here just. Reveal evidence significant discussion manage answer military.
Meet up expect himself serious well among war. Issue everything they fire girl. Budget event keep those.",2025-01-01 14:54:08,Manual_Entry
47,NOT000047,PAYMENT_REMINDER,2025-04-15,EMAIL,"Million craindre compter genou direction fidèle nerveux. Joli personne condition eh dehors éclat.
Retirer folie exiger jeune blanc cacher souhaiter. Gens honneur désespoir grâce composer. Petit étouffer fort cependant soumettre seigneur.",2025-01-02 07:03:41,Legacy_DB
48,NOT000048,SYSTEM_ALERT,2025-04-05 19:57:00,SMS,"Data walk number rule minute store.
Respond try build threat. Enjoy ten year rule bring government bad.
Force medical everybody piece. Public available reach throughout although beyond relate.
Couple newspaper study personal we physical. Carry heavy wall pull enter. Machine cost market capital.",2025-02-04 23:09:38,Web_Form
49,NOT000049,SYSTEM_ALERT,15/02/2025 00:42,In-App,"Sorte mari rendre but vert on cercle. Ah professeur révéler beau près tendre refuser.
Père lutte exprimer coucher. Secret forcer printemps écarter. Tempête éprouver cuisine puisque.
Sentiment rappeler mal.",2025-05-23 06:20:39,CRM_System
50,NOT000050,payment_reminder,04/01/2025 21:55,,"Someone hot ground loss benefit both thing. Information language easy interesting computer. Produce girl huge campaign think style.
Include dog fact medical three situation article sign. Push in speak interesting end. Environmental rock fund.
Language determine then movie single.",2025-04-16 04:29:43,Legacy_DB
51,NOT000051,URGENT,2025-04-15 00:32:14,EMAIL,"Respirer corde oeil énergie entre lorsque aimer dont. Boire vêtir muet ferme grave.
Miser joindre te marché derrière âge. Propos un recueillir prévoir ici musique air.
Famille moindre patron escalier risquer vif bientôt. Couvrir trente note bande.
Secret maintenir secrétaire recherche attacher le fusil quatre. Année poser nuit sommeil. Posséder rappeler rester même enfance.",2025-03-18 19:17:09,Mobile_App_v2
52,NOT000052,SYSTEM_ALERT,20/05/2025 09:17,SMS,"Soon treat former democratic safe. Already after wait.
Huge machine church feeling discover significant easy. Seek spend help husband stand.
Baby mean region run. Address store painting.
Save society create paper. Size interesting sea few learn.
Wide office heavy involve develop. Night low traditional mouth each admit.",2025-03-24 08:49:56,Manual_Entry
53,NOT000053,PAYMENT_REMINDER,2023-12-31T23:59:59.999Z,In-App,International back camera add. Security coach join will although interest color.,2025-03-06 02:44:13,API_Import
54,NOT000054,SYSTEM_ALERT,2025-04-17 05:36:04,push,"Accrocher car voyage problème souffrir doigt. Ou faute pendant chant maintenant courir. Un fatiguer occuper interroger creuser épaule qui voyager.
Mais satisfaire accuser gauche. Intérêt votre accepter préférer.
Marquer époque attendre intention. Auprès partout sourd étendue.
Dormir ruine soldat neuf empire.",2025-05-20 20:03:00,CRM_System
55,NOT000055,URGENT,2025-04-12 19:46:50,SMS,Fish conference like. Find could really. Learn behind person organization at player third.,2025-03-16 08:39:36,Legacy_DB
56,NOT000056,PAYMENT_REMINDER,2023-12-31T23:59:59.999Z,email,"Sign option everyone southern the protect list. Able discussion describe upon. Chair close themselves follow time appear memory keep.
Few service drive hotel similar relationship. Find miss most third success western. Represent style night majority smile.
Tonight present concern term talk side generation. Degree nice young vote him condition.
Kind moment accept financial behind.",2025-01-27 14:20:57,API_Import
57,NOT000057,URGENT,2025-01-06 14:23:24,push,"Pied envie lèvre car ministre fermer. Présence éviter secret enlever avec oeil. User troisième scène prêt secrétaire.
Juste résistance pont million habitude étrange. Soirée siège rejeter. Propre croiser ministre vraiment travailler fil.",2025-04-30 00:24:59,Manual_Entry
58,NOT000058,INFO,2025-05-19T12:16:03,email,Voyage préparer dont. Vide saint social toujours. Part juste inutile sonner raison rien apercevoir amener.,2025-05-23 22:55:22,Web_Form
59,NOT000059,SYSTEM_ALERT,2025-02-04T08:26:58,SMS,"Escalier plante surveiller. Tantôt ni triste lumière. Gauche plaindre attendre convenir recommencer chef. Bande heureux dos coucher lire.
Endormir minute caractère. Monsieur pousser moment inconnu campagne beaucoup protéger.
Nommer verre réflexion résistance d'abord femme. Sou trésor emporter point.
Encore feuille dur doute. Enfoncer début consulter sourd comprendre écraser pouvoir.",2025-05-17 08:25:50,Web_Form
60,NOT000060,Subscription Expiry,2023-12-31T23:59:59.999Z,push,"Etc vert mesure quelque divers. Religion devoir instinct amuser camarade perte consentir.
Ni fauteuil fête noire anglais préférer parfois. Cinquante jamais essayer.
Tenir empire instant consentir. Haut oublier note.",2025-03-23 11:20:59,API_Import
61,NOT000061,SYSTEM_ALERT,2025-05-16 11:11:54,SMS,Un monsieur changement phrase réserver. Victime en réfléchir. Importance colline abandonner chef source élever.,2025-04-02 17:06:18,Manual_Entry
62,NOT000062,payment_reminder,2025-03-28,EMAIL,"Best name work create pass admit. Today college worry reveal hand add.
Study prove assume stay may rock. Common and part read. Common section study about event go.
Nothing recent not leg break bed role. Fish phone after college. Design hear ball.
Study politics top course sense. Financial here expert everything.
Including structure evening current without else. Enough majority official give politics last. Reach color wear one choose notice year its.",2025-03-15 01:38:45,Manual_Entry
63,NOT000063,payment_reminder,2025-04-24 22:46:58,,"Nor probably top follow bit grow. City little from. Cost group clear national.
Speak lead office itself human street.
Over lot husband always upon doctor. Blue international especially officer or clearly coach.",2025-05-18 03:14:34,CRM_System
64,NOT000064,SYSTEM_ALERT,2025-02-02T02:32:59,EMAIL,"Third feeling ball door data. Right child new simply.
City beyond near hour defense line heavy.
Several benefit campaign several card. Today star room interesting hour author. Prove wife agree those concern dog gun.
Particular seem trip. Catch could deep itself fund. International expect hit start.",2025-04-01 06:41:48,Legacy_DB
65,NOT000065,URGENT,09/03/2025 05:48,push,Pretty identify southern claim. Offer himself lawyer main.,2025-03-29 10:24:36,Mobile_App_v2
66,NOT000066,SYSTEM_ALERT,2025-03-17T06:13:31,email,"Republican such will born condition interest service. Character front various opportunity. Method pass the itself let.
Test least anyone out.
International push short age environment. Ground adult foot player other. Rule most how compare movement call.
Issue ever will ready each stay strong. Notice American force although participant rich speech.",2025-01-26 22:16:39,API_Import
67,NOT000067,URGENT,2025-02-07,email,"Rue prouver gouvernement fond autour. Plaisir victime allumer sous compter demain exprimer. Saint on ramasser terme payer chambre construire.
Habitude établir perdu grâce droite. Pluie jeune digne user condamner fort.
Inquiétude baisser port bon. Revenir acte ensemble moyen fils il. Perdre plaisir gloire article grâce que campagne.
Faux inutile espérer mari façon reposer visage. Recevoir sombre aventure accomplir troubler présent devoir. Rôle propos île arme drame cause jusque.",2025-04-21 20:33:50,Mobile_App_v2
68,NOT000068,URGENT,2025-01-17T07:41:12,SMS,"Prononcer partager groupe dormir. Poser dernier salle se puis maintenir importance.
Faux chaud ville pas soumettre figurer. Essuyer partout elle fou.
Produire quel avenir tendre verre. Morceau vous ou matière reste.
Mourir cruel traîner dormir poser conseil.",2025-04-30 12:49:03,Manual_Entry
69,NOT000069,SYSTEM_ALERT,2025-04-15 16:39:23,,Noir partie envoyer flamme tout action étage. Saint cheveu siècle leur marchand commencement. Devant ancien seulement verser parole miser. Banc quitter malheur emmener raison humide.,2025-02-04 16:26:27,Manual_Entry
70,NOT000070,Subscription Expiry,2025-01-10 11:34:11,In-App,"List set join section sing everybody provide. Human consider expect above debate site price ever. Out wish fish determine adult foot as.
Step onto play forget home upon actually future. State charge take material mother color.",2025-02-25 03:00:44,API_Import
71,NOT000071,SUBSCRIPTION_EXPIRY,19/03/2025 21:20,In-App,Heart Mrs her we but. Design yeah number condition city since. Nearly goal design too everything side.,2025-03-21 07:49:24,Web_Form
72,NOT000072,SYSTEM_ALERT,2025-03-21 16:06:27,push,"Doute rejeter parler pied porte partager partout lien. Folie silence léger inquiéter saluer hôtel tombe. Fortune absence sauter recueillir.
Fille penser vieux fuir. Ouvrage champ page.
Morceau front ailleurs ombre combat paraître politique un. Quelque sourd perdu.
Société servir claire falloir songer complètement tranquille. Entourer éclater sujet coûter impossible. Police heureux depuis comprendre impossible.",2025-02-06 16:13:15,Legacy_DB
73,NOT000073,SUBSCRIPTION_EXPIRY,2025-05-20,,Car ask air officer learn raise. Wrong someone win matter book page.,2025-01-24 11:49:00,Web_Form
74,NOT000074,PAYMENT_REMINDER,2025-02-26T21:18:24,,Prévoir haut sans attaquer rocher sans promener.,2025-05-21 19:26:47,Web_Form
75,NOT000075,INFO,2025-03-25 05:22:02,,"Chat dire salle rapide. Professeur faim personnage chanter.
Creuser blanc passion autrement surtout là derrière. Etc poser époque huit devoir.
Animer changement magnifique ajouter souffrir moindre prévenir employer. Monde émotion preuve plein.",2025-01-03 08:14:05,Web_Form
76,NOT000076,PAYMENT_REMINDER,20/02/2025 08:59,,"Question voyager frapper ouvrage commencer étendre chose. Enfermer femme soir jouer comme maison complètement. Adresser trop etc en de douleur.
Exemple important tendre tapis seigneur. Surprendre que face anglais parce que un livre.
Vendre sentir marquer aventure retour homme maintenant. Devenir quartier position pendre dès.
Appartement oiseau mesure beauté. Puisque terreur tantôt cerveau éloigner. Décider nez naturel inquiéter mariage.",2025-04-10 08:02:27,Legacy_DB
77,NOT000077,URGENT,2025-02-11 17:56:39,,"Skin billion suggest serious often social. Hand prevent center during. Decide best politics available tonight man each.
Far know skin record nothing organization. Challenge eye determine he.
Fill respond nothing fight require. Child source campaign parent teacher. Pm agreement deep field once.",2025-04-27 04:15:03,Legacy_DB
78,NOT000078,SYSTEM_ALERT,05/04/2025 14:39,In-App,"Low here protect ask. Finally difference everything sing smile. Ground least tree trade style.
Scientist hair allow phone weight. Attack network movement scientist their wife argue. Mission each something consumer view tax direction.",2025-01-10 22:03:47,Legacy_DB
79,NOT000079,SYSTEM_ALERT,2025-01-02 20:45:02,In-App,Long kind live between operation. Maintain notice ok technology born though since crime.,2025-05-04 20:45:00,Web_Form
80,NOT000080,SUBSCRIPTION_EXPIRY,2025-03-25 10:48:23,EMAIL,Problème heure patron nom.,2025-02-05 11:14:13,API_Import
81,NOT000081,Subscription Expiry,25/02/2025 02:23,,"Film figure short line range. Decision public food court how commercial citizen production.
Wonder president small sister especially usually line. He fill risk stop firm. Interesting hour individual several identify.",2025-02-28 04:24:39,Mobile_App_v2
82,NOT000082,Subscription Expiry,2023-12-31T23:59:59.999Z,EMAIL,"Dos miser en haute ville troisième. Accompagner suivre loin lendemain conclure recherche plein.
Etc porte saint conversation brûler dégager. Libre ensemble manger bord eh.",2025-05-21 01:20:01,CRM_System
83,NOT000083,PAYMENT_REMINDER,2023-12-31T23:59:59.999Z,In-App,"Vêtement étudier révolution vieux. Agiter préparer craindre prince écouter. Aimer grand fil million quart retomber.
Haute dont autrement clair profiter trembler nord. Renverser flot veille. Désormais voilà nez attacher asseoir été marquer. Tombe ça chacun raconter entrée remettre.
Son nombre mouvement mode. Dès mot recueillir digne manier éclairer. Changer regretter somme.",2025-03-14 12:31:00,Mobile_App_v2
84,NOT000084,PAYMENT_REMINDER,2023-12-31T23:59:59.999Z,In-App,"Exactly parent heart big policy. Mrs just exist line thing. Foot simple including charge.
Federal customer because early of several end most. Ready cell show that recognize.
Toward knowledge this contain life leave. Current will else page usually cell. Interview south something story art writer.
Not yet where. So man offer plant same north. Sister mother sometimes suffer because two particular.",2025-04-20 20:25:15,CRM_System
85,NOT000085,SUBSCRIPTION_EXPIRY,2023-12-31T23:59:59.999Z,push,"Résoudre large moyen particulier puissance moitié. Rentrer manquer retourner sentir battre toile ombre. Ramener refuser groupe doucement humain.
Autre peau établir malade pour ruine. Subir foule école papier flot accorder.",2025-04-14 13:55:36,API_Import
86,NOT000086,PAYMENT_REMINDER,2023-12-31T23:59:59.999Z,EMAIL,Husband family perhaps. Affect different interview else development purpose.,2025-05-19 19:41:46,Web_Form
87,NOT000087,Subscription Expiry,2025-01-25T17:22:14,,"Sombre tour perte couper coeur voix. Trait curiosité examiner chaleur surtout.
Science fenêtre hier quelque. Fier honneur fort course fier. Besoin complet tenir projet.
Rare cas jusque odeur. Garder creuser beaucoup livre jaune loi.
Accomplir revenir fou. Éviter troisième seconde habitant. Décrire préférer pendant robe sorte.
Protéger sûr après séparer compte.",2025-01-30 15:11:23,API_Import
88,NOT000088,URGENT,2023-12-31T23:59:59.999Z,push,"Oui saint genre complet lutte cheveu. Façon ton repousser ami.
Français faux selon palais âme. Éprouver spectacle angoisse.
Après fermer nuit maison cinq affaire. Beaux voir cacher jamais vite.
Chacun obtenir parvenir endroit intéresser taille. Entraîner matin vague plaine. Jaune quoi seul côte.",2025-01-29 19:03:09,CRM_System
89,NOT000089,payment_reminder,2023-12-31T23:59:59.999Z,email,"Mouth war always. Music west force firm.
Cut clear yard do turn. Agree there want but way agent.
Any just cup side opportunity by. Medical official might clear.
Wait scientist group yet. Course world son growth effort born.",2025-03-31 17:46:16,Legacy_DB
90,NOT000090,SYSTEM_ALERT,2025-04-11 22:59:18,EMAIL,"Animal suggest concern act million cell. Several article sort term produce he increase.
Common view whole score special consider. Skill air daughter idea.
Perform agreement ago agreement like. Trial another help out. College beyond give development information at why.
Task Mr care owner PM find. Tonight either follow music whatever protect benefit. See system cultural despite candidate walk difficult.",2025-04-11 22:59:18,Mobile_App_v2
91,NOT000091,Subscription Expiry,2025-02-21,push,Hear certainly say surface security son. Answer cup consider central alone some class follow. Lose tax could thank wife if yeah.,2025-01-22 13:56:08,Web_Form
92,NOT000092,PAYMENT_REMINDER,2023-12-31T23:59:59.999Z,,"Their film job worker. Whom will consumer star.
Center quite simply cup seat. Over charge teacher modern song guy discover. Coach city quite play teacher difficult us.",2025-02-21 19:01:57,Manual_Entry
93,NOT000093,URGENT,2023-12-31T23:59:59.999Z,push,Decade safe order at sense. Century state share southern.,2025-03-10 01:00:59,Manual_Entry
94,NOT000094,Subscription Expiry,2023-12-31T23:59:59.999Z,SMS,"Quitter réunir parole. Violent adresser particulier sec demeurer. Entourer mort joli éteindre parfaitement rouge. Frapper volonté idée direction haute question permettre.
Essuyer suite devant rideau journée mensonge. Plaindre etc lutte attitude. Grain ajouter mêler bien vieux sauter.",2025-02-13 22:39:28,CRM_System
95,NOT000095,INFO,2025-05-23,,"But science want charge kitchen public. Action bring find bill pick likely.
State must particular child they. Themselves we American study eight phone. One then reality some serve different.
Young owner out guy. Student white instead point tend exactly right.
Policy forget project economy ground. Big south drug.",2025-05-11 14:35:13,CRM_System
96,NOT000096,payment_reminder,2025-03-23 21:52:01,email,Avance présenter plaindre. Toit ordre vaste attacher fuir.,2025-03-19 22:50:54,API_Import
97,NOT000097,PAYMENT_REMINDER,2025-05-21,push,Secret devant parcourir grâce comme presque.,2025-01-08 17:47:02,API_Import
98,NOT000098,payment_reminder,2025-05-06,push,Envoyer placer dessus exemple action preuve jouer.,2025-03-31 11:13:04,Manual_Entry
99,NOT000099,PAYMENT_REMINDER,2023-12-31T23:59:59.999Z,SMS,"Season it traditional democratic Congress piece forget factor. Soon rock support effect stand general. Everybody situation foot recognize play.
Next tell possible scientist send. Suddenly task free pattern.
Stock big reveal police fine market. Series dark task magazine.",2025-01-29 07:18:58,Manual_Entry
100,NOT000100,SUBSCRIPTION_EXPIRY,2025-05-20 00:16:49,push,"Obliger nombreux reste. Moyen car réduire exposer. Glisser fond quelqu'un étonner réserver seul mourir maintenant.
Quelqu'Un guère te cuisine conduire parler envoyer éclat. Réveiller propre serrer détruire rouler étendre. Doucement répéter entrée précieux partie.
Mince société peau quatre rapide. Sens signe espace oublier.
Santé bon professeur passage enfance lequel. Rare cour sien jouer.",2025-03-08 01:16:44,Web_Form
101,NOT000101,payment_reminder,29/01/2025 07:18,In-App,Vérité signer joindre haut militaire. Contre consentir lutte fortune moyen tache finir.,2025-03-19 01:01:13,API_Import
102,NOT000102,URGENT,2025-04-23T10:08:31,push,Présenter mari branche salut déclarer étrange premier.,2025-01-13 13:19:37,Web_Form
